id,gender,single/marries,age,age_group,Area_code,Area_name,Market_code,Market,Sub_market_code,Sub_market,Social_type_code,Social_type,SocioEconomic_code,SocioEconomic_type
165,Male    ,Married,53,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
166,Female   ,Single,73,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
167,Male    ,Married,46,45-54      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
168,Female   ,Single,46,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
169,Male    ,Married,49,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
170,Female   ,Married,58,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
171,Male    ,Married,78,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
172,Female   ,Single,79,75-84      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
173,Male    ,Married,74,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
174,Male    ,Married,56,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
175,Male    ,Married,68,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
176,Female   ,Married,87,85+        ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,1,Low
177,Male    ,Married,99,85+        ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
178,Female   ,Married,64,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
179,Female   ,Married,67,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
180,Female   ,Single,64,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
181,Male    ,Married,59,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
182,Female   ,Married,72,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
183,Female   ,Married,68,65-74      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
184,Female   ,Single,73,65-74      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
185,Male    ,Married,42,35-44      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
186,Male    ,Married,49,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
187,Male    ,Married,62,55-64      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
188,Female   ,Single,45,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
189,Female   ,Single,80,75-84      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
190,Female   ,Married,54,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
191,Male    ,Married,39,35-44      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
192,Male    ,Married,49,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
193,Male    ,Married,80,75-84      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
194,Female   ,Married,75,75-84      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
195,Female   ,Single,69,65-74      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
196,Female   ,Married,40,35-44      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
197,Male    ,Married,79,75-84      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
198,Male    ,Married,55,55-64      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
199,Female   ,Married,69,65-74      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
200,Male    ,Married,46,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
201,Female   ,Single,40,35-44      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
202,Female   ,Married,52,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
203,Male    ,Married,43,35-44      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
204,Male    ,Married,58,55-64      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
205,Male    ,Married,50,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
206,Female   ,Married,62,55-64      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
207,Male    ,Married,83,75-84      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
208,Female   ,Married,53,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
209,Female   ,Single,51,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
210,Female   ,Married,73,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,1,Low
211,Male    ,Married,61,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,1,Low
212,Male    ,Single,68,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
213,Female   ,Single,61,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
214,Male    ,Married,59,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
215,Female   ,Married,82,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
216,Female   ,Single,78,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
217,Male    ,Married,63,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
218,Female   ,Married,83,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
219,Male    ,Single,82,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
220,Male    ,Married,59,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
221,Female   ,Married,67,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
222,Male    ,Married,64,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
223,Female   ,Single,67,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
224,Female   ,Married,91,85+        ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
225,Female   ,Single,92,85+        ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
226,Female   ,Married,75,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
227,Female   ,Single,77,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,1,Low
228,Male    ,Married,59,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
229,Male    ,Married,67,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
230,Male    ,Married,69,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
231,Female   ,Married,60,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
232,Female   ,Married,81,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
233,Male    ,Married,85,85+        ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
234,Male    ,Married,81,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
235,Male    ,Married,77,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
236,Male    ,Married,78,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
237,Male    ,Single,78,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
238,Male    ,Single,75,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
239,Male    ,Single,77,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
240,Male    ,Married,70,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
241,Male    ,Married,84,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
242,Male    ,Married,80,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
243,Male    ,Married,76,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
244,Male    ,Married,83,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
245,Male    ,Married,84,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
246,Male    ,Single,76,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
247,Male    ,Married,81,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
248,Male    ,Single,70,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
249,Male    ,Single,81,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
250,Male    ,Married,84,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
251,Male    ,Married,93,85+        ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
252,Female   ,Single,80,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,1,Low
253,Male    ,Married,86,85+        ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
254,Male    ,Married,84,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
255,Male    ,Married,82,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
256,Male    ,Single,80,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
257,Male    ,Single,83,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
258,Male    ,Married,87,85+        ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
259,Male    ,Married,89,85+        ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
260,Male    ,Married,88,85+        ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
261,Male    ,Single,79,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
262,Male    ,Single,73,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
263,Male    ,Married,80,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
264,Female   ,Married,73,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
265,Male    ,Married,61,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
266,Female   ,Single,60,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
267,Male    ,Single,59,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
268,Male    ,Single,61,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
269,Male    ,Married,59,55-64      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
270,Male    ,Married,74,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,3,High
271,Female   ,Married,75,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
272,Female   ,Single,68,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
273,Female   ,Married,74,65-74      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,2,Medium
274,Female   ,Single,77,75-84      ,2,Tel-Aviv-Jaffa,9,General,1,General - General,9,General,1,Low
